Track,日本語,English
GP_109_For_a_cele.wav,セレブなのに驚くぐらい地に足がついている,"For a celebrity, he's amazingly down-to-earth."
GP_110_Michael__I.wav,マイケル、私が押さえている間にセロテープを探してくれ,"Michael, I need you to find some Scotch tape while I apply pressure."
GP_111_I_have_to_.wav,一瞬も無駄にできない,I have to make every moment count.
GP_112_Actually__.wav,いや、前言撤回,"Actually, scratch that."
GP_113_I_need_one.wav,君らのうち1人に、とんでもなく愚かなことに協力してほしい、存在が消える事態にも、楽しくもなりうる,I need one of you to volunteer to do something outrageously insane　that will either make you cease to exist or be really fun.
GP_114_Keep_a_low.wav,目立つな,Keep a low profile.
GP_115_Take_that_.wav,それはおかしなコンテストマガジンの人たちに言ってみて,Take that up with the folks at Weird Contest Magazine.
GP_116_Just_as_a_.wav,例えばの話だが、、,Just as a hypothetical..
GP_117_Out_of_pol.wav,礼儀として あと慎重を期して確認してくる,"Out of politeness and an abundance of caution, I'll go check."
GP_118_Start_a_di.wav,気持ちを言葉にしてみて,Start a dialog about your feelings.
GP_119_It_could_b.wav,まだマシだ,It could be worse.
GP_120_This_suit_.wav,スーツは似合っているし、貫禄もある,This suit is very flattering. You have a lot of gravitas.
GP_121_I_encourag.wav,私がジェイソンに見たものを白状するよういったの,I encouraged Jason to come clean about what we saw.
GP_122_In_light_o.wav,‎新情報に基づいて、確固たる行動を起こす時がきた,"In light of this new information, the time has come to take decisive action."
GP_123_We_re_gonn.wav,‎私たちは真相究明のエリート調査団を組織する。そしてプロセスを短縮する,We're gonna form an elite investigative team to get to the bottom of this. And we are fast-tracking the process.
GP_124_I_feel_bot.wav,みじめで追い詰められた気分,I feel both pitied and put on the spot.
GP_125_It_s_a_rea.wav,泣き続けるにはおかしな理由だ,It's a really weird incentive to keep crying.
GP_126_As_opposed.wav,こことは反対に、いつもどこでもない,"As opposed to here, which is nowhere, at all the times."
GP_127_I_know_you.wav,公平でいるために、あなたが地球の生活について多くを知りたくないのは知っている,"I know you don't like to learn too much about life on Earth to remain impartial,"
GP_128_Turns_out_.wav,彼は4人の祖父母の世話を同時にこなさなければいけないことが分かった,Turns out that he had to juggle three jobs to take care of four grandparents.
GP_129_I_kind_of_.wav,ちょっと立ち直れない,I kind of never recovered.
GP_130_Let_s_get_.wav,話を元に戻そう,Let's get back on track.
GP_131_Michael_wi.wav,マイケルは事前にファイルを手に入れられない、一生計画することにならないように,"Michael will not get the files in advance, so he does not have forever to plan."
GP_132_I_have_som.wav,基本的な近隣エリアをどうデザインするかについていくつかアイデアがあります。それをゲストについてもっと知りながら、彼らに合わせて調整していけるようにするんです,"I have some ideas for how to design a sort of basic neighborhood, which we can then tailor to the guests as we learn more about them."
GP_133_Why_mess_w.wav,成功しているのに変える必要なくない？,Why mess with success?
GP_134_That_s_Vic.wav,ヴィッキーが入っている。君とういうものをちょっと試してるんだ,"That's Vicky in there right now, taking you for a spin."
GP_135_Don_t_prep.wav,準備を全くしないで、テストの朝に酔っぱらって、私たちのやり方で嘘ついてやりすごそう,"Don't prepare at all, get drunk the morning of the test, BS our way through it,"
GP_136_In_retrosp.wav,今思えば、それはいいアイディアのように思える,"In retrospect, that does seem like a much better idea."
GP_137_It_s_kinda.wav,上司と密かに付き合っている時みたい。経験したことないけど,It's kinda like I'm secretly dating my boss. Not that I ever would've done that.
GP_138_He_made_it.wav,彼は私が浅はかだの、嫉妬に苦しめられているだの、すぐカッとなるだの、そう見えるようにした,"He made it seem like I was shallow, plagued with jealousy, and prone to fits of melodrama."
GP_139_They_sent_.wav,彼らは私を昔の私に引き戻したくてジョンを送り込んだのだ,They sent John here to drag me back into my old patterns.
GP_140_But_this_f.wav,でもこのフローズンヨーグルトは最高。だからひとまず流れに身を任せる,"But this fro-yo is amazing. So, I'm just gonna roll with it."
GP_141_We_ll_chec.wav,あとで様子を見に来る,We'll check in with you later.
GP_142_You_have_t.wav,たまに元カレに出くわすこともある,You have to run into your ex occasionally.
GP_143_His_memori.wav,彼の君と彼女の記憶はごちゃまぜになっている,His memories of you and her are all swirled together.
GP_144_It_s_a_nic.wav,悪口フィルターが韻を踏ませるとは粋な工夫だ,It's a nice touch that the cursing filter maintains the rhyme.
GP_145_Think_of_i.wav,私からの餞別だよ,Think of it as a going away present.
GP_146_I_know_you.wav,ジョークを言って話をそらそうとしているのはわかってる,I know you're deflecting by making jokes.
GP_147_That_s_ver.wav,あなたらしい,That's very on-brand for you.
GP_148_I_have_a_l.wav,やることがたくさんある, I have a lot to attend to (address).　
GP_149_When_we_fe.wav,彼らがどんな人間なのか、何が彼らを動かしているのかを把握できたと感じたら、こちら側に移動させます,"When we feel we have a handle on who they are, what makes them tick, we move them to this side."
GP_150_We_re_off_.wav,最高の滑り出しだ,We're off to a fantastic start.
GP_151_If_you_so_.wav,この実験に少しでも手を出したら、すべて最初からやり直すからな。,"If you so much as breathe on this experiment again, I will restart the entire thing from scratch."
GP_152_So__you_re.wav,‎何かをしたくなってもすぐにそれをやる理由にならないといっているんだね？,"So, you're saying wanting to do something isn't a good reason to immediately do it?"
GP_153_No_handout.wav,施しなんて受けてないからね。自分の力でその地位を勝ち取ったんだ,"No handouts, by the way. I earned my spot there."
GP_154_We_ve_made.wav,全く進捗していない,We've made precious little progress.
GP_155_You_get_it.wav,すべて(体内から)出し切れた？,You get it all out of your system?
GP_156_The_things.wav,ここでおこっていることはちょっと私のキャパを超えている,The things that are happening here are above my pay grade.
GP_157_I_did_a_ba.wav,自分の人生の管理をトチった,I did a bad job of being in charge of my own life.
GP_158_But_everyt.wav,でも私がすることすべて裏目に出る,But everything I do blows up in my face.
GP_159_Mum_s_the_.wav,言わないぞ。競争相手にヒントを与えるわけない,"Mum's the word, right? Why tip off my competition?"
GP_160_I_need_you.wav,この地区に彼女がなじむように手伝ってくれ,"I need your help, acclimating her to the neighborhood."
GP_161_Everyone_h.wav,皆が宇宙の法則でつながっていて、システムが死後一緒にする。確信をもって言えるのは、君とシモーヌがそういう二人だってこと,"Everyone has people that they're cosmically bound to, and the system brings them together in the afterlife. And I can say, with complete certainty, that you and Simone are two such people."
GP_162_I_know_you.wav,落ちてるのはわかるけど、私を放置しないで,"I know you're down, but you can't leave me hanging."
GP_163_Just_for_a.wav,仮に議論のためだけに聞くけど、人類の仲間を助ける義務について、カントなら何て言うと思う？,"Just for argument's sake, what would Kant say about your duty to help your fellow human beings?"
GP_164_Think_of_i.wav,魂の腸内洗浄だと考えて,"Think of it as a colonic, but for your soul."
GP_165_I_know_peo.wav,だれもおれに計画とかアイデアとか何も期待していないことはわかる,"I know people don't look to me for plans, or ideas, or anything,"
GP_166_Adversity_.wav,逆境は成長をもたらす,Adversity can lead to growth.
GP_167_I_am_serio.wav,僕が何か間違ったことをして、世界がその罰を与えようとしているのではないかと真剣に心配している,"I am seriously worried that I did something wrong, and this is the universe getting back at me."
GP_168_The_man_wh.wav,イーロンマスクと延々ツイッターで言い合いしていいた男,The man who once started a protracted Twitter feud with Eron Musk.
GP_169_All_right_.wav,わかった、私たちが話を整理するまで静かにそこに座ってて,"All right, just sit there quietly until we sort all this out."
GP_170_I_m_not_pi.wav,えり好みはしない,I'm not picky.
GP_171_Well__so_b.wav,そうか、なら仕方ない,"Well, so be it."
GP_172_If_I_blow_.wav,自分を爆破すれば、永遠に君たちの厄介者ではなくなる,"If I blow myself up, I'm out of your hair for good."
GP_173_You_need_t.wav,君はもっと彼の繊細さと紳士さをマネしないと拷問にならない,You need to nail his subtleties and mannerisms for this to properly work as torture.
GP_174_I_got_dibs.wav,主寝室の権利は俺にある,I got dibs on the master bedroom.
GP_175_I_m_a_tota.wav,私は貪欲(むしゃむしゃたべる),I'm a total munch.
GP_176_I_was_neve.wav,代役がいるとは聞いてません,I was never told that I had an understudy.
GP_177_She_tends_.wav,彼女は直感で人を判断しがちなんだ,She tends to make snap judgments about people.
GP_178_But_as_is_.wav,ところがそれらのことにはいつも言えるように、悪影響は広がるものだ,"But as is often the case with these things, the negative effects started to ripple out."
GP_179_To_put_it_.wav,あなたが分かりやすいようにいうとすると、ゴシップトイレがあふれそうだった,"To put it in terms you'll understand, the gossip toilet was about to overflow."
GP_180_There_ya_g.wav,その調子。さあボールを探して、次挽回しよう,"There ya go. Now let's go find your ball, and try to do better on your next shot."
GP_181_Take_a_wil.wav,当ててみて,Take a wild guess.
GP_182_Just_like_.wav,集団訴訟を一手に対峙し時の父のように,"Just like my dad, when he single-handedly took on all those class-action lawsuits."
GP_183_I_ve_tried.wav,あなたを引き込もうとしたけどできなかった,I've tried to win you over to our side.
GP_184_Do_you_thi.wav,もし立場が逆なら、彼を助けるために時間をむだにするの？,"Do you think if the roles were reversed, he would waste any time rescuing you?"
GP_185_Guys_I_thi.wav,みんな、私たちはここまでだ,Guys I think we're cooked.
GP_186_Bounces_of.wav,そっくりそのまま返すよ,Bounces off me and sticks to you.
GP_187_For_the_re.wav,念のため言っておくけど、それは男用のハーネスで、ピンチの時に役立つ,"For the record, it was a men's back support harness, and it worked in a pinch."
GP_188_Shouldn_t_.wav,"""バン""を連呼しすぎない方がよかった","Shouldn't have committed so hard to this ""bam"" thing."
GP_189_Jason__at_.wav,ジェイソン、きいたら私が落ち込むリスクを承知で、なぜこの場所を選んだの？,"Jason, at the risk of getting an answer that might thoroughly depress me, what made you choose this setting?"
GP_190_No_one_is_.wav,更生できない人なんていない,No one is beyond rehabilitation.
GP_191_In_a_very_.wav,遠回しに、アリーMyLoveをリブートしようとしていることになる,"In a very roundabout way, I am actually rebooting Ally McBeal."
GP_192_Are_we_sur.wav,厳しい、というのはほんとに大丈夫なトーン？強硬に見られたくはない,"Are we sure ""stern"" is the right tone? We don't want to seem strident."
GP_193_A_long_tim.wav,ずっと前、私とエメカには難しい時期があったの,"A long time ago, Emeka and I were going through a rough patch."
GP_194_How_do_you.wav,どうやって、さっと現れてエレガントに人前で振る前るような自信をつけているの？,How do you have the confidence to just swoop in and so elegantly take charge of a whole group of strangers?
GP_195_but_if_we_.wav,‎でも もしまた会えたら― ‎いつか どこかで…,"but if we do cross paths again, sometime, somewhere…"
GP_196_Live_anyth.wav,最も規範的な人生を少しでも下回ったら、永遠に残虐に拷問され、救済措置もない,"Live anything less than the most exemplary life, and you are brutally tortured forever, with no recourse."
GP_197_Something_.wav,彼が欲しいもの、それさえわかれば僕らは万全だ,"Something he wants. Once we figure that out, we're golden."
GP_198_She_s_so_c.wav,彼女は徹底しているね,She's so committed.
GP_199_we_rest_ou.wav,弁論を終えます,we rest our case.
GP_200_Nobody_kno.wav,誰も何も知らない,Nobody knows squat.
GP_201_You_all_ha.wav,君たちはみな選ばれた,You all have been hand-selected
GP_202_Feels_like.wav,キリがいいかも,Feels like a good stopping point.
GP_203_Typical_Vi.wav,いつものヴィッキーね、悪口を言っているけどその影をおとしているのは私よ,"Typical Vicky, throwing shade. But it doesn't matter, 'cause I'm casting it."
GP_204_Against_al.wav,予想に反して、よくわかった、ぼくはあきらめるよ,"Against all odds, I know what you mean, and I gotta give it up. "
GP_205_It_wasn_t_.wav,君ではなく、僕の不安定さだったんだ、邪魔するのは,It wasn't about you. It was just my own insecurities getting in the way.
GP_206_The_first_.wav,最初の住民たちは立ち上がっている,The first bunch of neighborhoods is up and running.
GP_207_In_a_nutsh.wav,要約すると、最高,"In a nutshell, it slaps."
GP_208_I_m_gonna_.wav,宇宙の概念に関する質問をいくつもききたい,I'm gonna ask her so many questions pertaining to grand ideas about the universe.
GP_209_You_have_t.wav,君は落ち着いていながら威厳のある爆弾検知犬のような存在感がある,You have the calming yet authoritative presence of a bomb-sniffing dog.
GP_210_I_know_it_.wav,私みたいな人がGoodPlaceにくることは異例でしょうが、とても素敵だ,"I know it's unorthodox for someone like myself to visit the Good Place, but it's just so wonderful."
GP_211_On_paper__.wav,理論上、ここは楽園だ,"On paper(=theoritically), this is paradise."
GP_212_We_just_re.wav,私達はシステムを再設計したので、すぐに数百万人が流れ込んでくる、ここを楽園だと思って、結果喜びのない抜け殻になってしまう,"We just redesigned this system, and soon millions of people are going to start pouring in, thinking they're in paradise, only to become a joyless husk."
GP_213_If_you_kee.wav,もしこのブランケットを独り占めするなら、3日であのドアを通るけど,"If you keep hogging this blanket, I'm probably gonna walk through that door in three days, though."
GP_214_Maybe_keep.wav,念のため準備しておいて,Maybe keep it on deck.
GP_215_Never_not_.wav,彼のカエル熱は冷めないよ,"Never not excited about frogs, that guy."
GP_216_These_youn.wav,これらの若手悪魔の役者たちは、作品にのめりこんでない,These younger demon actors have no dedication to their craft.
GP_217_Okay__take.wav,ちょっと落ち着いて,"Okay, take it down a notch(level)."
GP_218_Now__I_m_b.wav,今2つのことで憂鬱だ,"Now, I'm bummed about two things."
GP_219_Did_you_ju.wav,こっちに向けてきたわけね,Did you just turn the tables on me?
GP_220_To_wit__wo.wav,早速挙げるなら、1杯の反物質はいかが？,"To wit, would anyone like a cup of antimatter?"
GP_221_Name_dropp.wav,有名人の名前を出すのはちょっと野暮だけど、続けて,"Name dropping is a little gauche, Michael, but do as you must."
GP_222_Is_this_wh.wav,これが合図してくれたもので合ってる？,Is this what you were hinting to me?
GP_223_I_was_neve.wav,悲しむのが得意だったことなんて一度もない。というのも1つの理由として、母がはっきりと「悲しむな」って言ったからだ,"I was never good at being sad, partly because my mom straight up told me not to be."
GP_224_If_we_re_c.wav,私たちは同じものだし、私を信じて,"If we're cut from the same cloth, then trust me."
GP_225_Thanks_for.wav,気にかけてくれてありがとう,Thanks for giving a crap about me.
GP_226_I_set_up_a.wav,銀行口座を作っておきました。飢えないくらいの、でも能無しのやばいやつにならないくらいのお金を入れてあります,"I set up a bank account for you. There's enough money in there so you don't starve, but not so much that you become an entitled jerk."
GP_227_Care_to_jo.wav,ちょっと付き合って,Care to join me for a bit?
GP_228_A_few_peop.wav,彼には苦手な人もいる,A few people he can't stand.
HF_0001_Let_s_back.wav,ここで少し話を遡って、この瞬間に至るまでの経緯を振り返りましょう、かなり驚くべき展開だったと思うし。,Let’s back up here a little bit and walk up to this moment because I think it’s been a pretty surprising turn of events. 
HF_0002_Heading_in.wav,この決定に向けて、前例を考えると、第一修正条項に基づく主張が勝利を収める可能性は十分にあると思っていました。,"Heading into this decision, I thought that there was a good chance that the First Amendment arguments could carry the day based on some of the precedents."
HF_0003_You_can_se.wav,そこには明らかな発言を萎縮させる効果があることが分かりますよね。,You can see how there’s an obvious speech chilling effect there.
HF_0004_There_is_s.wav,そうなる可能性もあると考えられています、特に次期大統領のトランプ氏が、これを彼にとって優先事項と決定するのであれば。,"There is some thinking that might be the case, particularly if incoming President Trump decides this is a priority for him. "
HF_0005_Nothing_wo.wav,もし私たちがクリスマス休暇から戻ってきて、トランプ大統領が「そうだ、TikTokを救うことにするよ」と言ったとしても、全く驚きませんね（それより驚かないことはない）。,"Nothing would surprise me less than if we came back after our Christmas break and President Trump said, oh, yeah, I’m going to save TikTok. "
HF_0006_There_s_be.wav,人工知能の世界で大きな進展があった。,There’s been a major breakthrough in the world of artificial intelligence.
HF_0007_We_are_goi.wav,あなたのユニークな説明力を、ChatGPTという不可解な響きに向けていきます。,We are going to turn your unique powers of explanation to the inscrutable-sounding ChatGPT.
HF_0008_What_does_.wav,その頭文字は何を表しているのか、なぜ重要なのか？,"What does that acronym stand for, why does it matter?"
HF_0009_Let_s_give.wav,昔ながらのやり方でやってみようじゃないか、どう？,"Let’s give it the old human try, shall we?"
HF_010_Rolls_off_.wav,口にしやすい、響きがいい。,Rolls off the tongue.
HF_011_I_m_thinki.wav,デルタ航空がその大量欠航のピークにあった頃を思い出している。,I’m thinking of Delta airline at the height of its greatest wave of cancelation.
HF_012_If_you_ask.wav,もしSiriに「カラマーゾフの兄弟」を7つの箇条書きで、それらすべての項目が2文以内の長さで要約するよう頼んだとしても、おそらくそれはできないだろう。,"If you asked Siri to summarize “The Brothers Karamazov” in seven bullet points, all of which were no more than two sentences long, it probably wouldn’t be able to do that."
HF_013_He_sets_th.wav,彼はこの小さなものを隣のテーブルに置いた。基本的には電話のようなものだが、画面はオフになっていて、小さなマイクがついている。,"He sets this little thing down on the table next to him. It’s basically like a phone, but the screen is off, and it’s got a little microphone attached to it."
